月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
7,12,7,24.13333333,0.014933228,211.143296,167.0525545,45.86633347,22,-78
7,12,8,25.65,0.015322122,395.9595512,214.7862846,50.81952834,35,-86
7,12,9,26.73333333,0.014551158,445.5977978,262.059677,62.00904779,47,-86
7,12,10,28.08333333,0.014066649,586.8659581,251.9686331,72.6719693,59,-75
7,12,11,30,0.0138457,565.6612697,287.5147048,84.53849736,70,-55
7,12,12,31.03333333,0.01732489,655.0785313,257.0207632,65.46366296,77,-10
7,12,13,32.16666667,0.018196978,667.5111783,247.9204497,65.90267457,73,44
7,12,14,32.03333333,0.01682012,649.3446278,239.4417946,74.32317871,63,70
7,12,15,31.61666667,0.017019985,593.3361345,231.7468491,70.68912481,51,83
7,12,16,31.33333333,0.017631576,492.0842475,219.6975154,65.05548084,38,88
7,12,17,30.66666667,0.018961726,445.1962934,169.4039044,52.8022501,26,80
7,12,18,29.63333333,0.0191919,200.8157312,123.5951242,45.77794378,14,73
7,12,19,28.51666667,0.019225715,0,30.8822028,39.61503885,3,65
7,12,20,27.46666667,0.01828976,0,0,40.07350294,-8,56
7,12,21,27.13333333,0.016528272,0,0,50.0756282,-18,46
7,12,22,26.85,0.016705585,0,0,47.38498248,-26,33
7,12,23,26.51666667,0.016596647,0,0,46.39483135,-31,19
7,12,24,25.7,0.016007838,0,0,46.23786547,-33,3
7,13,1,25.55,0.015862402,0,0,46.48268542,-32,-14
7,13,2,25.66666667,0.015975416,0,0,46.29246029,-28,-29
7,13,3,25.38333333,0.017169078,0,0,36.66216011,-21,-42
7,13,4,24.58333333,0.016748169,0,0,35.41688083,-11,-53
7,13,5,24.1,0.016645879,0,0,33.65842402,-1,-62
7,13,6,24.75,0.015710067,109.8038552,78.62232414,43.45501736,10,-70
7,13,7,26.28333333,0.016142948,176.8864273,168.7788266,48.31123448,22,-78
7,13,8,27.61666667,0.01582052,305.1569963,234.767147,57.51693288,34,-86
7,13,9,29.63333333,0.017300394,606.1850688,206.3098502,58.07519362,47,-86
7,13,10,31.7,0.01770934,659.5410695,221.8167336,66.54242345,59,-74
7,13,11,33.43333333,0.016900233,666.2016894,241.6873425,81.51263565,70,-55
7,13,12,34.13333333,0.016550521,710.7794154,231.2751362,87.80136432,77,-10
7,13,13,34.6,0.017710657,629.0507687,265.5767334,82.61759029,73,44
7,13,14,34.96666667,0.019181202,589.5159387,265.3889165,75.18113527,63,69
7,13,15,34.36666667,0.018534979,457.2348245,283.1924909,75.92916897,51,83
7,13,16,33.58333333,0.018058481,510.34447,213.9077256,74.64173926,38,88
7,13,17,32.31666667,0.017412759,300.9510919,197.3392006,71.89226903,26,80
7,13,18,31.1,0.017685857,24.84708833,107.2063504,63.42667058,14,73
7,13,19,30.25,0.017941984,0,24.34160084,57.13952186,3,65
7,13,20,29.48333333,0.017414574,0,0,56.5098119,-8,56
7,13,21,29.05,0.017233044,0,0,55.41016371,-18,46
7,13,22,28.18333333,0.016860406,0,0,53.32646755,-26,33
7,13,23,27.85,0.016527514,0,0,53.8392639,-31,19
7,13,24,27.55,0.01670924,0,0,51.02042975,-33,3
7,14,1,27.63333333,0.016553583,0,0,52.52150253,-32,-14
7,14,2,27.5,0.016184354,0,0,54.36643072,-28,-29
7,14,3,27.26666667,0.015959155,0,0,54.7114927,-21,-42
7,14,4,27.03333333,0.015736778,0,0,55.05147064,-12,-53
7,14,5,26.76666667,0.015486046,0,0,55.43381576,-1,-62
7,14,6,27.2,0.016128296,101.1434775,77.50060337,53.18442075,10,-71
7,14,7,28.75,0.015907096,386.7183277,142.8439247,62.89483364,22,-78
7,14,8,30.26666667,0.016005794,536.9177022,177.3826909,70.32030397,34,-86
7,14,9,31.45,0.015069529,647.2022069,191.7109897,83.37360983,47,-86
7,14,10,32.93333333,0.015126983,711.7330792,200.7500563,91.10978561,59,-74
7,14,11,33.51666667,0.015642234,740.4306903,209.3761082,90.67587877,70,-54
7,14,12,34.23333333,0.014559417,753.7478134,212.3882938,102.4729495,77,-10
7,14,13,34.63333333,0.015249152,760.887549,206.6880305,99.72020428,73,44
7,14,14,34.83333333,0.01722448,750.3745639,197.1692536,87.16691305,63,69
7,14,15,33.88333333,0.016657502,698.4835152,191.643408,85.6715153,51,82
7,14,16,33.56666667,0.01736682,648.3987996,170.8321506,79.11714366,38,88
7,14,17,32.56666667,0.01703,542.5300205,147.4529568,75.83587134,26,81
7,14,18,31.18333333,0.017772333,346.1675034,109.9908882,63.30897378,14,73
7,14,19,29.61666667,0.016476927,0,33.01210488,63.56671426,3,65
7,14,20,28.61666667,0.015781513,0,0,63.06803253,-8,56
7,14,21,28.15,0.015840825,0,0,60.18237655,-18,46
7,14,22,27.7,0.015420467,0,0,60.78208652,-26,34
7,14,23,27.51666667,0.016438101,0,0,52.70172968,-31,19
7,14,24,27.25,0.016878939,0,0,48.29508197,-34,3
7,15,1,27.35,0.016274385,0,0,52.95695948,-33,-14
7,15,2,26.71666667,0.015665554,0,0,53.9029413,-28,-29
7,15,3,25.98333333,0.01541884,0,0,51.84908987,-21,-42
7,15,4,25.23333333,0.015766459,0,0,45.5301277,-12,-53
7,15,5,24.95,0.015089052,0,0,48.89935982,-1,-63
7,15,6,25.38333333,0.0150756,195.0741458,76.03646205,51.21645653,10,-71
7,15,7,26.85,0.014881024,407.230526,138.8812532,60.20959295,22,-78
7,15,8,28.16666667,0.014381751,541.5523645,175.6567112,70.77033244,34,-86
7,15,9,29.63333333,0.013018577,635.2038207,195.5121567,88.90783908,47,-85
7,15,10,30.95,0.016660151,573.585118,256.5543208,69.5012537,59,-74
7,15,11,32.71666667,0.013984793,742.019696,208.5287474,98.29696229,70,-54
7,15,12,33.03333333,0.016515734,760.034435,209.607106,81.91323708,77,-10
7,15,13,33.28333333,0.01774934,720.0080424,223.9247223,75.00316524,73,43
7,15,14,33.3,0.017102575,694.1495126,219.9273625,79.40530136,63,69
7,15,15,31.65,0.014645536,713.0014363,186.2158439,87.54364263,51,82
7,15,16,31.58333333,0.016085602,683.7482022,159.8816372,76.90868244,38,89
7,15,17,30.11666667,0.016141162,557.1278449,143.9317312,68.57014412,26,81
7,15,18,28.38333333,0.014568359,350.6626249,109.1141196,70.54178352,14,73
7,15,19,27.1,0.014183995,0,31.73489217,66.63467862,2,65
7,15,20,26.35,0.014439229,0,0,60.84107374,-8,56
7,15,21,25.88333333,0.014680924,0,0,56.65343799,-18,46
7,15,22,25.56666667,0.01672554,0,0,40.60455708,-26,34
7,15,23,24.26666667,0.015837762,0,0,40.09721451,-31,19
7,15,24,24.16666667,0.018082599,0,0,24.40308372,-34,3
7,16,1,23.81666667,0.018270924,0,0,21.40447266,-33,-14
7,16,2,23.78333333,0.018233251,0,0,21.48081717,-28,-29
7,16,3,23.91666667,0.017612737,0,0,26.22710572,-21,-42
7,16,4,23.65,0.018273203,0,0,20.5479849,-12,-53
7,16,5,23.23333333,0.017806665,0,0,21.5008148,-1,-63
7,16,6,23.11666667,0.017494392,0,0,22.98127111,10,-71
7,16,7,23.06666667,0.017623087,0.062866695,11.08849782,21.87642153,22,-78
7,16,8,23.16666667,0.016996962,0.552461939,49.69834044,26.56540734,34,-86
7,16,9,23.23333333,0.016329965,3.052542467,150.6111368,31.45337511,46,-85
7,16,10,24.05,0.016207682,58.66551888,372.9545362,36.41936257,59,-74
